production_candidate_id,batch_number,sample_index,class_id,target_label,generation_seed,demonstration_seed,prompt_version,prompting_strategy,demonstration_source,demonstration_pool_size,demo_1,demo_2,demo_3,demo_4,generated_text
class4_batch004_sample030600,4,30600,4,Profane,431600,435600,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,nazar lag gayi bhenchod fuck this i knew it would never last,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,"mera ghar ka sara kamaal kia tha, aaj mujhe kya pata tera ghar mein kya huwa?"
class4_batch004_sample030601,4,30601,4,Profane,431601,435601,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : birthday wali feel hi nai arahi bhenchod,dil sumbhal ja zra bhenchod,bhenchod aaj sirf roneka mann kar raha hai,bauhat sardi hai bc,bhai sahab ye duniya mein sabse kharabi galti ha
class4_batch004_sample030602,4,30602,4,Profane,431602,435602,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : asa kon ludo khelta hi bc ....😇,bauhat sardi hai bc,bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,mera bhi yaar bhai...jindgi jhand ho gya hai bhenchodv 3 t20 me 300 rupya haar gye....,bhenchod ye 25 feb ko koi aisa nhi hota bharwe
class4_batch004_sample030603,4,30603,4,Profane,431603,435603,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod kya hai ye sb,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,"rt : yaar magar wifi bandh na karna, missile vissile daal do koi dikkat nahi, magar internet chahiye bc",bhenchod exams uff,teri maa ki phudi ka tatti gandu🖐️
class4_batch004_sample030604,4,30604,4,Profane,431604,435604,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,i hate ors bhenchod,my entire neighborhood is making weird sounds bhenchod shaddi hai kya,rona araha hai bhenchod why am i such a clown why am i so unimportant,bc bb khatm ho gya but i cant move on,yeh tu mjhy jitna nahi pata bhenchod
class4_batch004_sample030605,4,30605,4,Profane,431605,435605,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",mere pas tum ho ny to puray saal ka rula dia bhenchod,bhenchod what a goal!,tm logo ko dikhta hai ab bhenchod apni tarah ke logon ki choti si nangi jagah se akela rakhty hain
class4_batch004_sample030606,4,30606,4,Profane,431606,435606,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,i hate ors bhenchod,bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,ajeeeeb bc 😒😂,bhenchod chal kya raha hai
class4_batch004_sample030607,4,30607,4,Profane,431607,435607,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod aaj sirf roneka mann kar raha hai,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",code bhee saaf karna hai abheeee bc,"rt : yaar magar wifi bandh na karna, missile vissile daal do koi dikkat nahi, magar internet chahiye bc",tum logon ne apni maa ko mc bana diya hai😂
class4_batch004_sample030608,4,30608,4,Profane,431608,435608,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod exams uff,bhenchod bht kutti haaalat huwe we he bhai,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.","rt : koi physics samjha de bhenchod,,,,",ye abhi tak aisa hi hua tha yaar?
class4_batch004_sample030609,4,30609,4,Profane,431609,435609,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : birthday wali feel hi nai arahi bhenchod,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,mera bhi yaar bhai...jindgi jhand ho gya hai bhenchodv 3 t20 me 300 rupya haar gye....,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,"rt : ""yahodi yahan ka baap khanzeer khanzeer ki aulad hain"" #shuklaji"
class4_batch004_sample030610,4,30610,4,Profane,431610,435610,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,my entire neighborhood is making weird sounds bhenchod shaddi hai kya,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,bauhat sardi hai bc,rt : birthday wali feel hi nai arahi bhenchod,bc sab ny galiyan dekha ha
class4_batch004_sample030611,4,30611,4,Profane,431611,435611,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,naak bandd ho gya bc.,neend aa rhi h bc main sone jaa rhi hu 😂,rona araha hai bhenchod why am i such a clown why am i so unimportant,bc bb khatm ho gya but i cant move on,pata nahi ab tumhari kya larkiyon ko goli marne ke liye chootiyo ko samajhte ho
class4_batch004_sample030612,4,30612,4,Profane,431612,435612,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bauhat sardi hai bc,bhenchod what a goal!,my entire neighborhood is making weird sounds bhenchod shaddi hai kya,rona araha hai bhenchod why am i such a clown why am i so unimportant,mera charsi hai ye bhenchod
class4_batch004_sample030613,4,30613,4,Profane,431613,435613,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : birthday wali feel hi nai arahi bhenchod,neend aa rhi h bc main sone jaa rhi hu 😂,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,mn tweet krna tha aur apka tweet dekh leta phir bhaunk leta
class4_batch004_sample030614,4,30614,4,Profane,431614,435614,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,ajeeeeb bc 😒😂,bc bb khatm ho gya but i cant move on,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,yeh chutiye hi jata hai yeh kaha se 🤦🏻‍♂️
class4_batch004_sample030615,4,30615,4,Profane,431615,435615,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bc bb khatm ho gya but i cant move on,bhenchod kya hai ye sb,bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,"rt : koi physics samjha de bhenchod,,,,",rt : 😒🤪 bhenchod khush rahna mera jism meri marzi karne ki baatein karte hain
class4_batch004_sample030616,4,30616,4,Profane,431616,435616,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,pubg lover hath toota howa hai phir b pubg nhai chorni bc😂😂😂,inn coaching vaalou ko kaise pta chal jaata hai mera result bhenchod.,naak bandd ho gya bc.,bhenchod what a goal!,bhenchod kabhi apna name hi bulao
class4_batch004_sample030617,4,30617,4,Profane,431617,435617,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod what a goal!,kyaaaa musibbaattt ha yr sara mood khraab kr diya ha bc,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,2 years ago i asked my father for my own car. so he said “hbl car loan se lelo” bc itni khajal khawari keh tang akar i bought used honda civic. and mine is way better than new honda city. or sashky apny,mtlb ye shakal thori dikhti ha na
class4_batch004_sample030618,4,30618,4,Profane,431618,435618,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : birthday wali feel hi nai arahi bhenchod,fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,bhenchod exams uff,bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,abe bharwe tu maa ki chut maru na 😂😂
class4_batch004_sample030619,4,30619,4,Profane,431619,435619,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod kahan phass gaya hoon,bhenchod bht kutti haaalat huwe we he bhai,code bhee saaf karna hai abheeee bc,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,bhenchod bhi ni pata kiun kya ho raha hai
class4_batch004_sample030620,4,30620,4,Profane,431620,435620,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,kyaaaa musibbaattt ha yr sara mood khraab kr diya ha bc,rt : asa kon ludo khelta hi bc ....😇,main 5'8 ke sath bh chota lgta hn bc😶😑😑😑,bhenchod kahan phass gaya hoon,sahi marna tha bhadwa
class4_batch004_sample030621,4,30621,4,Profane,431621,435621,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,ajeeeeb bc 😒😂,main 5'8 ke sath bh chota lgta hn bc😶😑😑😑,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",kuch nae kahin bc
class4_batch004_sample030622,4,30622,4,Profane,431622,435622,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,my entire neighborhood is making weird sounds bhenchod shaddi hai kya,bhenchod kya hai ye sb,bhenchod kahan phass gaya hoon,mere pas tum ho ny to puray saal ka rula dia bhenchod,bhenchod itna zyada na hona chahye
class4_batch004_sample030623,4,30623,4,Profane,431623,435623,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod aaj sirf roneka mann kar raha hai,code bhee saaf karna hai abheeee bc,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,bhenchod tu paida kia tha
class4_batch004_sample030624,4,30624,4,Profane,431624,435624,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod kahan phass gaya hoon,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,mere pas tum ho ny to puray saal ka rula dia bhenchod,ye sabse bara mc is kehny ki bat hai bhenchod
class4_batch004_sample030625,4,30625,4,Profane,431625,435625,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,ajeeeeb bc 😒😂,rona araha hai bhenchod why am i such a clown why am i so unimportant,my entire neighborhood is making weird sounds bhenchod shaddi hai kya,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,sach bolne ka tareeqa khatm ho gaya. aur tu apna dil ka lagta nahin hai mujhe.
class4_batch004_sample030626,4,30626,4,Profane,431626,435626,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,inn coaching vaalou ko kaise pta chal jaata hai mera result bhenchod.,bhenchod bht kutti haaalat huwe we he bhai,ajeeeeb bc 😒😂,bhenchod what a goal!,🤦‍♂️😭😭 bhenchod tere jaisay kuch bhi nahi tha
class4_batch004_sample030627,4,30627,4,Profane,431627,435627,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,mera bhi yaar bhai...jindgi jhand ho gya hai bhenchodv 3 t20 me 300 rupya haar gye....,bauhat sardi hai bc,neend aa rhi h bc main sone jaa rhi hu 😂,i am so bad at maths i cant even tell you what this means 😂
class4_batch004_sample030628,4,30628,4,Profane,431628,435628,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,neend aa rhi h bc main sone jaa rhi hu 😂,bhenchod bht kutti haaalat huwe we he bhai,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,code bhee saaf karna hai abheeee bc,ye nhi pata bc
