kia howa hai aap ko allah bless and protect you  aameen	1
randdi hai	3
 smjh to agai thi mjhy	1
haan yrr tuny sahi thukayi ki abhi tak lund dard kr raha hai sahi randi hai...wesy ghalti ki tjhy lund dy k abb pta nhi lund ko koi bemari he naw llag jaye gandi phudi k moun jo lag gayi hai😈😈😈👙🤣🤣	3
rundi ka bacha bharwaaa ptm ka kuttaa	0
kbi b nai ay ga vo bcz phr phr yahodi naraz ho jain gy us sy	1
rt : sultans aaj phir se maidaan main aa rahay hain! kya aap #tayyarhain? #janoobkipechaan  #letsplaysaeen  #msvkk	1
gashti k bachay saboot check kr	0
 yes yes yes yes yes yes ab ap jo itna pyar sa bol rahi ho to na to bol nahi sakta	1
faasla rakhein ba'ad mein aap interest lose kar jate hain aur hum attachments ki maar marte hain🙊	1
tum log pappu mat bano kyunki sonia aur pawar ne tumnlogo ko pappu hi nahi kutta bana kar chhod diya hai..ab kai kai karte rahi; bhaunk toh sakte nahi 🤣🤣	0
khowla behen itni explanation dene ki zarurat nai kuch insano ke sar may dimagh ki jaga akhrot hota hai 😁 #achasorry	0
bc yee ks shokhay k hth haath mic dy dia.	4
aur  ansoo bahany ki bhtreen  jagh sajda ha 🖤🖤	1
rt : ap itny bhenchod hoooo itny bhenchod	0
or ap jasy kuty barhy kuty ko sport kr rahy .jo ak yahodi hy	2
#boycottchhapaak deepika randi hai	3
 i love gurh walay rice. kal he amma ko gurh laa k deta hun	1
ham murgaa bnata ha bnta nai ha btw chachu police wala ha hamra😂✌	1
  lant lant aurat march ko sport kerny waly ko shrm keroo yar	0
the other day he was searching handsome guyz for his ahmedi sisters 😭	2
koi is bharwe ko rokta q nahi ha, ye hamari fouj k bare me bhi bakwas kr rha ha, idare q khamosh hain....???	0
laanat ho tum per	0
abe jijde ki nasal to tum endian ho sale phuski reporter ,pata nhi konse apne dusre daap ki baat kr rha ha bharwe main to tera post dekh kr teri ghand marne agaya aur ab puri market jaunga sale chutiye suwar 🤣🤣🤣 <ab tere jija ki i'd se aunga 🤣🤣🤣🤣	0
abe godase tera baap tha bol	0
lanati insan kutto	0
bhot acha  allaha na aap ko tofeeq di hai to khul k asy logon ki help karain allaha aap ko aur nawazy gaa	1
   bhai tw phr tum manty ho k cheeni thi  wapis jis ne b ki cheen'ny wala tw laanti hogya na	4
i should've a bhenchod counter which will count the amount of times i've sad bhenchod	4
i hate ors bhenchod	4
😭  your cheap show filled with negativity & disgusting people is running with a great trp just bcz of happypositive girl #shehnaazgill  y are trying 2 ruin #asimriaz & #shehnaazgill why? bc they ain't face of ur chanel they are outsider #openthegatebb if u have guts 🖕🏿	1
bagga sir ye janm se hi hai chutiya and charsi donno ! 😂😂	0
 bhai koi ilaj nhi h..migraine h jst..dr se cnslt krlo koi tablet bta dega	1
when i hug you my loora is out of control then fucking will must be needed 😉	3
 tu kya smjhta bichar kr bikhar jaoga dekh ye me hu mjhe smbhalna atta he	1
 yaqeen krain m b yahi kehny wali thi apko  😂😂	1
mughal pure ka bharwa  shareef k young bharwe k sat	0
saale pakistani bhadve teri randi maa ko chod dunga	0
diesl menga fazul rahman ahmaq	0
agar muslaman ho tu jawab do. 	1
 ma’am leave it ye bataiye koi boyfriend mila yaa sirf dafli wale ke pichhe rahegi......	1
 ye to mystery banti ja rae hai 😬🌚😂	1
when is the book fair? bhoy goswamy and others are clapping like eunuch. these intellectuals deserve a good welcome song for book fair with similar hijra clapping.	3
 ye rhetorical kya hota hai . mujhay to itna b nai pata . haeyyyyyyyy life wasted.	1
ye fake hai is ki maaa ko chut randi sali	3
 gauahar khan meri fav thi mera jo b fav hta win krta😍🙈	1
  insaniyat ko bache rahne do, jis mazhab me janwar ka gala ret ke khushi banti hai, jis mazhab me soorma logo ko 72 virgin ladkiya baati jaati, jo duniya pe kabze ke sapne dekhta ho us mazhab se duuri banane me hi insaniyat ki bhalayi hai.	2
"apna banao note churao decency ka faida uthao  pyar bantne aye they.  ghar ki hawa badlne aye they. ""ouch ye kya hua wo toh khud hi badal gaye"" kya ye china main badtey ja rahe corona virus ka asar hai ya wo aise hi they 🤣🤣🤣   "	1
1 balatkari muslim 3 balatkari tera baap hindu h uske bare m kuch bol  be	2
rt : guys vote karo first abhe voting open ha .	1
abe chutiye...caa m khi kisi ko degree nhi dikhani h... charsi padh liya kr ki rule h kya...  pichwaade m tere dum nhi bolta h kisi c km nhi	0
bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏	4
 kis ny mar dia apko	1
wah wah kutta bhaunk raha hay urdu mein.	0
tusi jheri bhen yowani h yowa lo... abi tu tweet band hone hn wakat and pe lafafa towadi bond band kar dian ge.... hor kuj	0
#rashamidesai tu randi moti apni maa ko bech chuki hai ...kisi aur ke hatho..to apni awkat ne rah kar game plan kar ...arhan to vaduaa hai...ram mandir ban rha hai na..but tu chud rahi hai kisi aur ka bister garam kar rhi hai	3
privilege ki gaud me beth k fazool k ronay naa kia kero beghairton.	0
 wese hota nhi pareshan but jb hota hu to ami ky pas beth jata hu	1
makkar chupa halala girl	2
chutiyaa ho aur imran khan par na bhonkay ye kesy ho skta. where were when these guyz calls him yahodi agent calls a sitting pm bgerat threatens him  calls him zani charsi nashai. tb tm log nepal chaly jaty ho?	0
qurbanya day sakty ho..? so then come to balochistan..  bakwas karty ho bc	0
bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.	4
 jagh sb hi rahe hote singal social media pe nazar ate ar engaged apni partner k sth busy hote 😂😂	1
 arre nahi 😂 din ko so leti hon iss wajah se raat ko phir late soti hon	1
hay shalu randi follow back karke dm me aao sex chat karte hai	3
yar wo aurat march wali photo pari hai kisi kay pas jisme wo laal rasi dali hui hoti hai larkay ko	1
 try try untill you succeed bachpan main para nae tha🤦🙆	1
 clever hona b zroori h aj kal k doar mein  loyality abhi ap ny daikhi ni	1
bat bhagnaay ki nahi hai randi tu hai randi tujhsy to achay achay side pe hotay hai magar koi koi teri maa chodta hai un mai sy aj mai ek hogya jo teri maa chod gya	3
"iss ka tarjuma kren  "" main aap se aik baat kehna chahta hun"""	1
maine bhi sabko miss kiya bahut	1
mere se bhi fadwalo ek bar apna chut	3
jis tarha se shadab batting kr rha hay agr yehi passion barqarar rakha to pakistan team me kafii arsy se jo proper power hitting batsman's ki kami jaa rhi thi wo shadab khan ki surat me puri ho jaye gi jo k bhot khush annd hay very well done   #psl5  #shadabkhan	1
"someone idk tried to facetime me and i declined bc tf? then they text me ""why u dissin me"" what"	4
randi ke, modi ki maa ki tatti khane wale salle reporter	0
ek jhut chupane ko kitna jhut bolega.......haan d protest was from jnsu and abvp.  bc kuch v patta nahi tum mc sab ko kya milta hai jhutta afwah failla ke .....we know ur ideolgy .....press ho biased media mut bano...	0
bechara randwa ho geya he	3
rt : twitter par randi rona ka time hwa chata hi🤒	4
sari tmari thi jo idr mentions me warh gaye 	1
 kya pata khatoon ko dost sabit kr day 😂😂😂waisay bhy red sweater hai 😂😂😂	1
haa 2 min m teri maa bhen chod k nikal jata h mc 😂😂🔥😂🔥	0
waah bose dk aur baaqi logon k naam kaun batayega.. tera baap	0
